Date_of_Booking,Day_of_Booking,Source_Airport,Destination_Airport,Airline_Name,Airline_Code,Price,Travel_Date_From,Travel_Date_To
2/1/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2710,80,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,Delta Airlines,DL679,75,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,United Airlines,UA 1765,123,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,American Airlines,AA 2904,108,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,Southwest Airlines,SW 5321,110,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,Alaska Airlines,AA 417,74,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2711,106,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,Delta Airlines,DL678,123,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,United Airlines,UA1785,89,5/23/2022,6/22/2022
2/1/2022,Tuesday,SFO,DFW,American Airlines,AA 2914,123,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2710,111,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Delta Airlines,DL679,103,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,United Airlines,UA 1765,103,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,American Airlines,AA 2904,108,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Southwest Airlines,SW 5321,125,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Alaska Airlines,AA 417,75,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2711,76,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,Delta Airlines,DL678,80,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,United Airlines,UA1785,114,5/23/2022,6/22/2022
2/2/2022,Wednesday,SFO,DFW,American Airlines,AA 2914,56,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2710,169,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Delta Airlines,DL679,153,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,United Airlines,UA 1765,179,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,American Airlines,AA 2904,140,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Southwest Airlines,SW 5321,142,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Alaska Airlines,AA 417,146,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Delta Airlines,F9 2711,161,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,United Airlines,DL678,146,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,American Airlines,UA1785,153,5/23/2022,6/22/2022
2/3/2022,Thursday,SFO,DFW,Frontier Airlines,AA 2914,170,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Frontier Airlines,F9 2710,189,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Delta Airlines,DL679,177,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,United Airlines,UA 1765,157,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,American Airlines,AA 2904,160,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Southwest Airlines,SW 5321,187,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Alaska Airlines,AA 417,170,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Delta Airlines,F9 2711,181,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,United Airlines,DL678,186,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,American Airlines,UA1785,150,5/23/2022,6/22/2022
2/4/2022,Friday,SFO,DFW,Frontier Airlines,AA 2914,175,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2710,153,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Delta Airlines,DL679,116,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,United Airlines,UA 1765,142,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,American Airlines,AA 2904,190,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Southwest Airlines,SW 5321,160,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Alaska Airlines,AA 417,161,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Delta Airlines,F9 2711,176,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,United Airlines,DL678,189,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,American Airlines,UA1785,127,5/23/2022,6/22/2022
2/5/2022,Saturday,SFO,DFW,Frontier Airlines,AA 2914,154,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2710,111,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Delta Airlines,DL679,190,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,United Airlines,UA 1765,113,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,American Airlines,AA 2904,132,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Southwest Airlines,SW 5321,134,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Alaska Airlines,AA 417,120,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Delta Airlines,F9 2711,125,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,United Airlines,DL678,118,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,American Airlines,UA1785,154,5/23/2022,6/22/2022
2/6/2022,Sunday,SFO,DFW,Frontier Airlines,AA 2914,169,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Frontier Airlines,F9 2710,140,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Delta Airlines,DL679,111,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,United Airlines,UA 1765,112,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,American Airlines,AA 2904,149,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Southwest Airlines,SW 5321,113,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Alaska Airlines,AA 417,146,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Delta Airlines,F9 2711,111,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,United Airlines,DL678,125,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,American Airlines,UA1785,138,5/23/2022,6/22/2022
2/7/2022,Monday,SFO,DFW,Frontier Airlines,AA 2914,126,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2710,107,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Delta Airlines,DL679,76,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,United Airlines,UA 1765,89,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,American Airlines,AA 2904,72,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Southwest Airlines,SW 5321,99,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Alaska Airlines,AA 417,108,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2711,100,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,Delta Airlines,DL678,96,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,United Airlines,UA1785,102,5/23/2022,6/22/2022
2/8/2022,Tuesday,SFO,DFW,American Airlines,AA 2914,70,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2710,96,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Delta Airlines,DL679,97,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,United Airlines,UA 1765,112,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,American Airlines,AA 2904,110,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Southwest Airlines,SW 5321,115,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Alaska Airlines,AA 417,82,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2711,101,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,Delta Airlines,DL678,106,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,United Airlines,UA1785,81,5/23/2022,6/22/2022
2/9/2022,Wednesday,SFO,DFW,American Airlines,AA 2914,92,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2710,129,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Delta Airlines,DL679,118,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,United Airlines,UA 1765,130,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,American Airlines,AA 2904,123,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Southwest Airlines,SW 5321,125,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Alaska Airlines,AA 417,130,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2711,127,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,Delta Airlines,DL678,132,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,United Airlines,UA1785,111,5/23/2022,6/22/2022
2/10/2022,Thursday,SFO,DFW,American Airlines,AA 2914,126,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,Frontier Airlines,F9 2710,122,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,Delta Airlines,DL679,140,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,United Airlines,UA 1765,124,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,American Airlines,AA 2904,149,5/23/2022,6/22/2022
